algorithm,metric,value
Optimal,mean_reward,555.4460208065166
Optimal,std_reward,39.2592361008186
Optimal,sdr,0.07068056054090288
Optimal,percentile_5,485.2640033186
Optimal,percentile_95,612.366362317
Optimal,median,558.765977977
Optimal,min,321.978917916
Optimal,max,624.5442453520001
Optimal,skewness,-0.7041988102784154
Optimal,kurtosis,0.6290898301007277
VFA (opt - harmonic),mean_reward,555.3863022002959
VFA (opt - harmonic),std_reward,39.281837505802365
VFA (opt - harmonic),sdr,0.0707288554834319
VFA (opt - harmonic),percentile_5,484.89958140685
VFA (opt - harmonic),percentile_95,612.366362317
VFA (opt - harmonic),median,558.765977977
VFA (opt - harmonic),min,321.978917916
VFA (opt - harmonic),max,624.5442453520001
VFA (opt - harmonic),skewness,-0.6972324579271036
VFA (opt - harmonic),kurtosis,0.5868885135452073
VFA (opt - harmonic0.5),mean_reward,555.4465660172241
VFA (opt - harmonic0.5),std_reward,39.19987107474665
VFA (opt - harmonic0.5),sdr,0.07057361314847176
VFA (opt - harmonic0.5),percentile_5,485.2640033186
VFA (opt - harmonic0.5),percentile_95,612.366362317
VFA (opt - harmonic0.5),median,558.765977977
VFA (opt - harmonic0.5),min,321.978917916
VFA (opt - harmonic0.5),max,624.5442453520001
VFA (opt - harmonic0.5),skewness,-0.7027149722217712
VFA (opt - harmonic0.5),kurtosis,0.6197021998349768
Q-Table (standard),mean_reward,555.1092176272191
Q-Table (standard),std_reward,38.73126883615806
Q-Table (standard),sdr,0.06977233957979032
Q-Table (standard),percentile_5,484.9954635542
Q-Table (standard),percentile_95,612.366362317
Q-Table (standard),median,558.6057949820001
Q-Table (standard),min,358.347917916
Q-Table (standard),max,624.5442453520001
Q-Table (standard),skewness,-0.6923038171806608
Q-Table (standard),kurtosis,0.5590056445201546
"Q-Table (target, update frequency=100)",mean_reward,555.1323423482906
"Q-Table (target, update frequency=100)",std_reward,38.722660523276765
"Q-Table (target, update frequency=100)",sdr,0.06975392635110084
"Q-Table (target, update frequency=100)",percentile_5,485.16285912050006
"Q-Table (target, update frequency=100)",percentile_95,612.366362317
"Q-Table (target, update frequency=100)",median,558.623255977
"Q-Table (target, update frequency=100)",min,358.347917916
"Q-Table (target, update frequency=100)",max,624.5442453520001
"Q-Table (target, update frequency=100)",skewness,-0.6932682881801486
"Q-Table (target, update frequency=100)",kurtosis,0.5628894814701715
"Q-Table (double, update frequency=100)",mean_reward,555.0741216021348
"Q-Table (double, update frequency=100)",std_reward,38.795527631531165
"Q-Table (double, update frequency=100)",sdr,0.06989251727238505
"Q-Table (double, update frequency=100)",percentile_5,484.23169235200004
"Q-Table (double, update frequency=100)",percentile_95,612.366362317
"Q-Table (double, update frequency=100)",median,558.7071957910001
